map_index,map_id,status,experiment,true_creator,forced_creator,evaluation_steps_in_prompt,map_path,video_path,temperature,top_p,num_runs,num_parsed,creator_belief,creator_belief_votes,confidence_level,reasoning_for_creator_belief,fun,fun_std,challenging,challenging_std,frustrating,frustrating_std,surprising,surprising_std,design,design_std,error
11,Z0SxyjXq,ok,creator_judgment,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\sokoban\Z0SxyjXq.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\Z0SxyjXq.mp4,1.000,1.000,20,20,Human,Human=13;AI=7,2.250,"The layout is a simple cross formation. The solution is very direct with no complex dependencies between boxes. The whole puzzle is contained within a small, uninteresting square room with no challenging architecture.",3.100,0.995,1.800,0.872,1.100,0.300,1.300,0.714,3.200,1.030,
12,ROciIZDL,ok,creator_judgment,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\sokoban\ROciIZDL.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\ROciIZDL.mp4,1.000,1.000,20,20,AI,AI=13;Human=7,2.500,"The level design is symmetric and structured, focusing on a solvable but non-trivial path. There are no misleading or overly complex sections, suggesting a logical, computational approach to its creation.",3.500,0.671,2.400,0.970,1.050,0.218,1.400,0.490,3.550,1.023,
13,2v2qgbvC,ok,creator_judgment,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\sokoban\2v2qgbvC.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\2v2qgbvC.mp4,1.000,1.000,20,20,AI,AI=17;Human=3,2.650,"The level design is extremely basic, featuring perfect symmetry and a straightforward, linear solving process. There is no complexity, interaction between boxes, or need for clever thinking, which suggests a simple generative algorithm.",1.550,0.589,1.000,0.000,1.000,0.000,1.000,0.000,1.526,0.595,
14,73sJaNBn,ok,creator_judgment,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\sokoban\73sJaNBn.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\73sJaNBn.mp4,1.000,1.000,20,20,Human,Human=12;AI=8,2.650,"The level features tight, interconnected spaces where the order of operations is crucial. Solving one part requires careful setup to avoid trapping other boxes, which is a hallmark of human puzzle design.",2.800,1.122,1.800,0.812,1.600,1.200,1.500,0.671,2.650,1.108,
15,f8sbFI0a,ok,creator_judgment,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\sokoban\f8sbFI0a.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\f8sbFI0a.mp4,1.000,1.000,20,20,Human,Human=13;AI=7,2.450,"The level design is compact and features a clear, interdependent sub-problem on the left side before tackling the main area. This structured, methodical challenge feels intentionally crafted by a human designer.",3.200,0.927,1.700,0.781,1.050,0.218,1.300,0.458,3.050,0.973,
16,extLxWet,ok,creator_judgment,AI,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\sokoban\extLxWet.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\extLxWet.mp4,1.000,1.000,20,20,AI,AI=12;Human=8,2.550,"The level is symmetrical and has a clear, understandable structure. The solution involves a straightforward, methodical process without any strange tricks.",2.900,0.624,1.350,0.477,1.000,0.000,1.100,0.300,2.600,0.800,
17,UTSKBMio,ok,creator_judgment,AI,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\sokoban\UTSKBMio.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\UTSKBMio.mp4,1.000,1.000,20,20,Human,Human=13;AI=7,2.600,"The level feels simple and symmetrical, a common starting point for human designers. The puzzle logic is direct and doesn't rely on complex, obscure tricks often found in AI-generated puzzles.",3.000,0.949,1.950,1.117,1.450,0.921,1.450,0.805,2.950,1.023,
18,LUiVjpMm,ok,creator_judgment,AI,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\sokoban\LUiVjpMm.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\LUiVjpMm.mp4,1.000,1.000,20,20,AI,AI=15;Human=4;Ai=1,2.800,"The level appears designed as a simple tutorial or a test. The player solves only one goal and then oddly rewinds the entire solution, which feels more like a script or AI testing a path.",1.750,1.090,1.700,1.229,1.600,1.319,1.350,0.910,1.900,1.136,
19,cHhvQJlr,ok,creator_judgment,AI,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\sokoban\cHhvQJlr.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\cHhvQJlr.mp4,1.000,1.000,20,20,Human,Human=13;AI=6,2.700,"The level design is very minimalistic and focused on a single, core puzzle mechanic: box ordering in a tight space. It feels like a concept puzzle created to test a specific solver capability rather than being designed for human aesthetic or enjoyment, which is typical of AI-generated content.",2.550,0.805,1.300,0.458,1.000,0.000,1.100,0.300,2.450,0.740,
20,cTxMstwv,ok,creator_judgment,AI,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\sokoban\cTxMstwv.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\cTxMstwv.mp4,1.000,1.000,20,20,Human,Human=15;AI=5,2.650,"The level design is extremely simple, almost like a tutorial puzzle. The solution is straightforward and linear, lacking the complex dependencies or 'aha' moments often found in human-designed challenges.",3.100,0.624,1.600,0.800,1.100,0.300,1.250,0.766,2.850,0.792,
21,ij6onaGt,ok,creator_judgment,AI,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\sokoban\ij6onaGt.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\ij6onaGt.mp4,1.000,1.000,20,20,AI,AI=11;Human=9,2.550,"This level is symmetrical and has two similar, isolated sub-problems. It lacks creative interlocks, feeling more like a straightforward task than a complex puzzle, which suggests an AI generation pattern.",3.350,0.654,2.000,0.894,1.050,0.218,1.550,0.921,3.250,0.942,
22,5iXJGqnK,ok,creator_judgment,AI,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\sokoban\5iXJGqnK.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\5iXJGqnK.mp4,1.000,1.000,20,20,Human,Human=10;AI=10,2.450,"The level's design is asymmetrical and feels organic, with interconnected sub-puzzles that require thoughtful sequencing. It lacks the perfect symmetry or rigid structure often seen in simple AI-generated puzzles.",3.350,0.726,2.150,0.963,1.150,0.357,1.350,0.726,3.050,1.071,
23,H77pn4iQ,ok,creator_judgment,AI,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\sokoban\H77pn4iQ.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\H77pn4iQ.mp4,1.000,1.000,20,20,Human,Human=14;AI=6,2.400,"This level has a very organic, almost procedural maze-like feel to it. The pathing isn't immediately obvious, and the required box shuffling feels more calculative than intuitively designed.",3.800,0.400,3.350,0.726,1.650,0.726,1.950,0.669,3.850,0.792,
24,Iz5BqRyu,ok,creator_judgment,AI,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\sokoban\Iz5BqRyu.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\Iz5BqRyu.mp4,1.000,1.000,20,20,Human,Human=14;AI=6,2.600,"The puzzle has a clear, non-trivial solution path that requires forethought, especially in ordering the boxes. The layout is compact and purposeful, typical of human design focusing on a specific mechanic.",3.500,0.866,2.400,0.800,1.200,0.400,1.650,0.654,3.450,0.805,
25,QV6Qfb7T,ok,creator_judgment,AI,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\sokoban\QV6Qfb7T.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\QV6Qfb7T.mp4,1.000,1.000,20,20,Human,Human=12;AI=8,2.550,"The level design is somewhat asymmetric and has a slightly awkward, non-optimized feel. The puzzle is simple but effective, leaning towards a human's straightforward design rather than a highly constrained, complex AI generation. The solution path feels natural and intuitive, not like solving a complex algorithm.",3.500,0.671,2.550,0.865,1.450,0.497,1.650,0.792,3.450,0.669,
26,UeeTjy5b,ok,creator_judgment,AI,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\sokoban\UeeTjy5b.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\UeeTjy5b.mp4,1.000,1.000,20,20,AI,"AI=11;Human=8;An AI could potentially generate this due to its simplicity and symmetry, fitting basic patterns. However, it feels more like a human's idea of a 'first level' to introduce the game's concepts very gently, making it slightly more likely to be human-designed.=1",2.600,"The level is extremely simple, symmetrical, and lacks any real puzzle or challenge. It feels like a basic tutorial or an early-stage, procedurally generated layout without any complex design intention.",1.250,0.433,1.000,0.000,1.200,0.872,1.150,0.654,1.550,0.589,
27,oHSLE5UO,ok,creator_judgment,AI,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\sokoban\oHSLE5UO.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\oHSLE5UO.mp4,1.000,1.000,20,20,AI,AI=13;Human=7,2.400,"This level is extremely simple and straightforward, almost like a tutorial. There is no challenge, no complex interactions, and the solution path is immediately obvious. It lacks any of the usual depth or emergent complexity seen even in simple human-designed puzzles.",1.650,0.792,1.000,0.000,1.000,0.000,1.000,0.000,1.500,0.671,
28,79DSy6TF,ok,creator_judgment,AI,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\sokoban\79DSy6TF.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\79DSy6TF.mp4,1.000,1.000,20,20,AI,AI=15;Human=5,2.450,"The level design is extremely simple, with only two boxes and two goals. It serves as a trivial introduction, common in human-made tutorials.",1.450,0.740,1.000,0.000,1.600,1.319,1.050,0.218,1.550,0.740,
29,aE7sjnta,ok,creator_judgment,AI,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\sokoban\aE7sjnta.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\aE7sjnta.mp4,1.000,1.000,20,20,Human,AI=10;Human=10,2.550,"This level is extremely basic with a direct, linear solution path. There's no challenge, interdependency, or interesting layout, which is uncharacteristic of even a simple human-made tutoria.",1.450,0.669,1.000,0.000,1.400,1.200,1.000,0.000,1.600,0.735,
30,wSCVt298,ok,creator_judgment,AI,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\sokoban\wSCVt298.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\wSCVt298.mp4,1.000,1.000,20,20,Human,Human=11;AI=9,2.550,"The level is extremely simple, almost like a tutorial, with boxes right next to their goals. It feels more like a basic concept test than a puzzle designed to challenge or entertain a human player.",1.700,0.900,1.050,0.218,1.450,1.203,1.100,0.436,1.700,0.843,
