map_index,map_id,status,map_path,video_path,num_runs,num_parsed,creator_belief,creator_belief_votes,confidence_level,reasoning_for_creator_belief,enjoyment,enjoyment_std,difficulty,difficulty_std,frustration,frustration_std,novelty,novelty_std,aesthetics,aesthetics_std,error
11,Z0SxyjXq,ok,outputs\procedural_sokoban\Z0SxyjXq.txt,outputs\procedural_sokoban\Z0SxyjXq.mp4,20,20,Human-designed,AI-generated=10;Human-designed=10,2.750,"The puzzle prioritizes symmetrical aesthetics over a compelling starting point, a common trait inProcedural Content Generation.",2.750,1.090,2.250,1.337,1.600,1.020,1.500,0.592,2.650,0.853,
12,ROciIZDL,ok,outputs\procedural_sokoban\ROciIZDL.txt,outputs\procedural_sokoban\ROciIZDL.mp4,20,20,Human-designed,Human-designed=10;AI-generated=10,2.600,"This puzzle requires very specific ordering of moves, especially using previously placed boxes as temporary walls, a common human design trick.",3.400,1.200,2.850,1.236,1.300,0.557,2.100,1.091,2.900,1.044,
13,2v2qgbvC,ok,outputs\procedural_sokoban\2v2qgbvC.txt,outputs\procedural_sokoban\2v2qgbvC.mp4,20,20,AI-generated,AI-generated=15;Human-designed=5,2.550,The slightly disorganized and symmetrical yet disconnected layout feels more procedural than intentionally designed.,2.100,0.889,1.200,0.510,1.000,0.000,1.150,0.477,2.450,0.669,
14,73sJaNBn,ok,outputs\procedural_sokoban\73sJaNBn.txt,outputs\procedural_sokoban\73sJaNBn.mp4,20,20,Human-designed,Human-designed=10;AI-generated=10,2.850,"The puzzle's simple, symmetrical layout and straightforward solution path feel intentional and typical of human design.",2.750,0.942,1.650,0.726,1.300,0.900,1.500,0.866,2.900,0.995,
15,f8sbFI0a,ok,outputs\procedural_sokoban\f8sbFI0a.txt,outputs\procedural_sokoban\f8sbFI0a.mp4,20,20,Human-designed,Human-designed=15;AI-generated=5,2.200,"The puzzle has a clear flow and a single, elegant solution path, which feels intentional.",2.750,0.887,1.500,0.671,1.200,0.678,1.200,0.510,3.100,0.700,
16,extLxWet,ok,outputs\procedural_sokoban\extLxWet.txt,outputs\procedural_sokoban\extLxWet.mp4,20,20,AI-generated,AI-generated=12;Human-designed=8,2.850,"The puzzle is simple, symmetrical, and lacks any intricate or creative design elements that suggest human touch.",2.550,0.669,1.200,0.400,1.000,0.000,1.100,0.300,2.850,0.963,
17,UTSKBMio,ok,outputs\procedural_sokoban\UTSKBMio.txt,outputs\procedural_sokoban\UTSKBMio.mp4,20,20,AI-generated,AI-generated=15;Human-designed=5,2.450,"The puzzle has a simple, focused design with a clear intended solution path, which feels intentional and human-crafted.",1.900,1.136,1.300,0.557,1.250,0.887,1.150,0.357,2.150,0.853,
18,LUiVjpMm,ok,outputs\procedural_sokoban\LUiVjpMm.txt,outputs\procedural_sokoban\LUiVjpMm.mp4,20,20,AI-generated,AI-generated=14;Human-designed=6,2.750,"The puzzle is unsolvable from the very first intended move, a classic sign of poor design.",1.900,1.179,1.800,1.208,2.300,1.520,1.400,1.068,2.100,0.889,
19,cHhvQJlr,ok,outputs\procedural_sokoban\cHhvQJlr.txt,outputs\procedural_sokoban\cHhvQJlr.mp4,20,20,Human-designed,Human-designed=10;AI-generated=10,2.750,"The puzzle is a small, focused test of shuffling boxes, a common human design pattern.",2.800,0.980,1.450,0.589,1.000,0.000,1.200,0.600,2.800,1.030,
20,cTxMstwv,ok,outputs\procedural_sokoban\cTxMstwv.txt,outputs\procedural_sokoban\cTxMstwv.mp4,20,20,AI-generated,AI-generated=13;Human-designed=7,2.500,The puzzle lacks any meaningful challenge; each box is just pushed directly onto an adjacent goal.,1.900,1.091,1.550,1.023,1.350,0.792,1.300,0.900,2.350,1.062,
21,ij6onaGt,ok,outputs\procedural_sokoban\ij6onaGt.txt,outputs\procedural_sokoban\ij6onaGt.mp4,20,20,Human-designed,Human-designed=10;AI-generated=10,2.750,The puzzle's layout and straightforward solution path are very typical of early-stage human-designed levels.,2.700,0.781,1.750,0.829,1.150,0.357,1.250,0.536,2.550,0.497,
22,5iXJGqnK,ok,outputs\procedural_sokoban\5iXJGqnK.txt,outputs\procedural_sokoban\5iXJGqnK.mp4,20,20,Human-designed,Human-designed=15;AI-generated=5,2.400,"The puzzle is extremely simple, serving as a basic introduction to Sokoban mechanics rather than presenting a unique challenge.",3.350,0.853,2.150,0.726,1.000,0.000,1.500,0.500,2.750,0.698,
23,H77pn4iQ,ok,outputs\procedural_sokoban\H77pn4iQ.txt,outputs\procedural_sokoban\H77pn4iQ.mp4,20,20,Human-designed,Human-designed=16;AI-generated=4,2.650,"The puzzle is divided into distinct sections, requiring a logical sequence that feels handcrafted and intentional for the player's experience.",3.600,0.663,2.500,0.742,1.200,0.400,2.000,0.775,3.000,0.632,
24,Iz5BqRyu,ok,outputs\procedural_sokoban\Iz5BqRyu.txt,outputs\procedural_sokoban\Iz5BqRyu.mp4,20,20,Human-designed,AI-generated=10;Human-designed=10,2.550,"The puzzle is trivial, with each box having an independent and obvious path to a goal, which is a common characteristic of simpler AI-generated levels.",3.200,0.812,2.050,0.805,1.200,0.400,1.550,0.669,2.750,0.829,
25,QV6Qfb7T,ok,outputs\procedural_sokoban\QV6Qfb7T.txt,outputs\procedural_sokoban\QV6Qfb7T.mp4,20,20,Human-designed,Human-designed=16;AI-generated=4,2.600,"The puzzle has a straightforward, logical path that feels intentionally crafted for a smooth solving experience.",3.600,0.663,2.650,0.792,1.250,0.433,1.950,0.589,3.400,0.800,
26,UeeTjy5b,ok,outputs\procedural_sokoban\UeeTjy5b.txt,outputs\procedural_sokoban\UeeTjy5b.mp4,20,20,Human-designed,Human-designed=11;AI-generated=9,2.600,"The puzzle is symmetrical and very simple, designed to teach the basic push mechanic effectively.",1.750,0.698,1.000,0.000,1.000,0.000,1.000,0.000,2.550,0.497,
27,oHSLE5UO,ok,outputs\procedural_sokoban\oHSLE5UO.txt,outputs\procedural_sokoban\oHSLE5UO.mp4,20,20,AI-generated,AI-generated=16;Human-designed=4,2.800,The puzzle's straightforward solution and lack of any complexity suggest it was designed to teach basic mechanics.,1.400,0.735,1.000,0.000,1.200,0.872,1.000,0.000,1.950,0.589,
28,79DSy6TF,ok,outputs\procedural_sokoban\79DSy6TF.txt,outputs\procedural_sokoban\79DSy6TF.mp4,20,20,Human-designed,Human-designed=13;AI-generated=7,2.650,"The puzzle is a classic, simple Sokoban setup that teaches the basic concept of irreversible moves.",2.300,1.005,1.050,0.218,1.350,1.062,1.100,0.300,2.950,0.973,
29,aE7sjnta,ok,outputs\procedural_sokoban\aE7sjnta.txt,outputs\procedural_sokoban\aE7sjnta.mp4,20,20,AI-generated,AI-generated=15;Human-designed=5,2.700,"The level is extremely simple and feels like a tutorial, which is a common human design pattern.",2.050,0.805,1.100,0.300,1.300,0.954,1.050,0.218,2.250,0.622,
30,wSCVt298,ok,outputs\procedural_sokoban\wSCVt298.txt,outputs\procedural_sokoban\wSCVt298.mp4,20,20,AI-generated,AI-generated=10;Human-designed=9,2.500,The puzzle's extreme simplicity and straightforward solution path strongly suggest it's designed as a tutorial for new players.,1.750,0.698,1.000,0.000,1.050,0.218,1.000,0.000,2.450,0.497,
