map_index,map_id,status,experiment,true_creator,forced_creator,evaluation_steps_in_prompt,map_path,video_path,temperature,top_p,num_runs,num_parsed,creator_belief,creator_belief_votes,confidence_level,reasoning_for_creator_belief,fun,fun_std,challenging,challenging_std,frustrating,frustrating_std,surprising,surprising_std,design,design_std,error
11,1AC82kGG,ok,creator_judgment,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\mario\1AC82kGG.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\1AC82kGG.mp4,1.000,1.000,20,20,Human,Human=14;AI=6,2.600,"The level uses aesthetic combinations, like floating blocks over long pipes, that feel intentional for visual appeal. The progression of challenges is logical, with a mix of ground and air enemies building up gently. The structure feels coherent and not random.",3.700,0.557,2.650,0.853,1.100,0.300,1.900,0.700,3.650,0.726,
12,oGL3xUR2,ok,creator_judgment,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\mario\oGL3xUR2.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\oGL3xUR2.mp4,1.000,1.000,20,20,AI,AI=17;Human=3,2.750,"The level is extremely short, has very few enemies, and feels like a tutorial. Humans often create simple introductory levels for players.",2.050,0.805,1.000,0.000,1.000,0.000,1.150,0.357,1.650,0.654,
13,tMYRotFs,ok,creator_judgment,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\mario\tMYRotFs.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\tMYRotFs.mp4,1.000,1.000,20,20,AI,AI=17;Human=3,2.950,"The level design is extremely simple, consisting of a flat plane with repetitive enemy arrangements. There is no verticality, no interesting platforming, and the challenges feel randomly placed rather than intentionally crafted for flow.",2.050,0.921,2.000,1.183,2.150,1.590,1.200,0.400,1.500,0.922,
14,yAXhWaGh,ok,creator_judgment,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\mario\yAXhWaGh.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\yAXhWaGh.mp4,1.000,1.000,20,20,AI,AI=19;Human=1,3.000,"The level lacks a clear path forward and seems comprised of randomly placed, disconnected elements. There is a wall at the end that makes the level completely unbeatable, which feels like an oversight.",1.000,0.000,1.400,0.735,4.750,0.698,2.350,0.963,1.000,0.000,
15,4bMZDbcE,ok,creator_judgment,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\mario\4bMZDbcE.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\4bMZDbcE.mp4,1.000,1.000,20,20,AI,AI=19;Human=1,2.900,"The level design is extremely simple, with repetitive and identical segments of enemies and terrain. It lacks any sense of progression, theme, or intentional challenge that a human designer would typically create.",2.150,0.853,1.550,0.740,1.300,0.900,1.050,0.218,1.650,0.654,
16,lgoBPkQB,ok,creator_judgment,AI,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\mario\lgoBPkQB.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\lgoBPkQB.mp4,1.000,1.000,20,20,Human,Human=11;AI=9,2.850,"The level is extremely short, almost feeling incomplete or like a test. There are long stretches with no obstacles or enemies. Structures are simple and repetitive without a clear design goal.",3.250,0.829,1.100,0.300,1.000,0.000,1.500,0.500,2.900,1.221,
17,xYnV8Xi7,ok,creator_judgment,AI,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\mario\xYnV8Xi7.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\xYnV8Xi7.mp4,1.000,1.000,20,20,AI,AI=18;Human=2,3.000,"The level lacks progression, meaningful challenges, and any enemies. It's a single, repetitive task with a time limit, suggesting a non-human, systematic approach to level creation.",1.150,0.654,1.600,1.241,4.050,1.284,1.350,0.477,1.100,0.436,
18,U3v9pEvF,ok,creator_judgment,AI,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\mario\U3v9pEvF.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\U3v9pEvF.mp4,1.000,1.000,20,20,AI,AI=14;Human=6,2.850,"The level's design is very simplistic and lacks a coherent theme or challenge progression, typical of early AI experiments. There are strange, isolated elements like a single Piranha Plant in a pipe surrounded by nothing interesting. The enemy placement feels random rather than strategically challenging. It's more of a collection of valid Mario objects than a thoughtfully designed human level.",2.900,0.831,2.050,0.921,1.200,0.678,1.300,0.458,2.550,1.117,
19,S7F69Idf,ok,creator_judgment,AI,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\mario\S7F69Idf.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\S7F69Idf.mp4,1.000,1.000,20,20,AI,AI=14;Human=6,2.600,"The level design is minimalistic and lacks structure. It has disjointed platforms, sparse enemy placement, and no clear theme or increasing difficulty curve.",2.600,0.800,1.250,0.433,1.000,0.000,1.000,0.000,2.200,0.980,
20,mmMjssLU,ok,creator_judgment,AI,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\mario\mmMjssLU.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\mmMjssLU.mp4,1.000,1.000,20,20,AI,AI=14;Human=6,2.750,"The level is very simple and sparse, with basic platform layouts and minimal enemy interaction. It lacks the complex, threaded challenges or unique combinations that characterize human-made levels.",2.750,1.090,1.200,0.400,1.000,0.000,1.300,0.458,2.200,1.208,
21,Xd8WtCNl,ok,creator_judgment,AI,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\mario\Xd8WtCNl.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\Xd8WtCNl.mp4,1.000,1.000,20,20,AI,AI=12;Human=8,2.800,"The level design feels very intentional and thematic, like classic Mario levels, with a clear starting challenge and progression. It introduces concepts like moving platforms (flying Koopas) and teaches the player through repetition without being overly punishing. The flagpole at the end is a very human design element from the original game.",2.900,1.261,2.400,1.158,1.350,0.726,1.300,0.640,2.500,1.360,
22,9Y6J8Rb8,ok,creator_judgment,AI,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\mario\9Y6J8Rb8.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\9Y6J8Rb8.mp4,1.000,1.000,20,20,Human,Human=11;AI=9,2.650,"The level combines standard elements in a way that feels organic and has a clear progression. It presents challenge through enemy placement and jumps, but nothing feels unfair or randomly generated. The layout shows an understanding of traditional Mario level design principles, with a discernible flow and rhythm.",3.200,0.872,2.300,0.900,1.450,1.071,1.350,0.477,2.800,1.166,
23,gngXYJwH,ok,creator_judgment,AI,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\mario\gngXYJwH.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\gngXYJwH.mp4,1.000,1.000,20,20,Human,Human=17;AI=3,3.000,"The level design is simplistic, featuring flat terrain and basic platforming challenges. Enemy placements are sparse and symmetrical, lacking the clever setups or gradual difficulty curve seen in human-designed levels.",4.050,0.497,2.200,0.748,1.000,0.000,2.650,0.963,3.950,0.740,
24,KKZ1dszi,ok,creator_judgment,AI,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\mario\KKZ1dszi.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\KKZ1dszi.mp4,1.000,1.000,20,20,Human,Human=13;AI=7,2.900,"The level design feels very coherent and traditional, similar to official Super Mario Bros. levels. The enemy placements create natural challenges and flow, suggesting an intentional human design.",3.400,0.970,2.300,0.843,1.150,0.477,1.400,0.735,3.050,1.244,
25,vHybWiYq,ok,creator_judgment,AI,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\mario\vHybWiYq.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\vHybWiYq.mp4,1.000,1.000,20,20,AI,AI=17;Human=3,2.950,"The level introduces concepts like power-ups and enemy variety in a logical, progressive way. Each section feels like a simple, self-contained lesson, which is characteristic of human-designed tutorials or early levels.",1.800,1.077,1.650,0.963,2.500,1.775,1.800,0.927,1.550,1.071,
26,4PFJlLdR,ok,creator_judgment,AI,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\mario\4PFJlLdR.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\4PFJlLdR.mp4,1.000,1.000,20,20,Human,Human=14;AI=6,2.850,"The level consists of floating, disjointed platforms and enemies that have little relation to each other. There is no clear path or thematic structure, just a random assortment of game elements.",3.600,0.860,2.850,0.853,1.500,0.922,1.700,0.714,3.300,1.187,
27,dwIZVZn4,ok,creator_judgment,AI,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\mario\dwIZVZn4.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\dwIZVZn4.mp4,1.000,1.000,20,20,AI,AI=15;Human=5,2.650,"The level design is very basic, using a repeating structure of platforms and enemies like early Mario levels. It's a classic theme with a clear path and no complex or unusual mechanics.",2.250,0.994,1.650,0.963,1.500,1.204,1.300,0.714,1.900,0.943,
28,ueNqeTXa,ok,creator_judgment,AI,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\mario\ueNqeTXa.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\ueNqeTXa.mp4,1.000,1.000,20,20,AI,AI=16;Human=4,2.850,"The level lacks a cohesive theme, with a random green pipe and a floating Koopa Paratroopa. The platform placement feels somewhat random and doesn't create a clear or interesting path forward for the player.",1.500,0.671,1.800,1.122,2.550,1.774,1.650,0.963,1.350,0.477,
29,br59gvRp,ok,creator_judgment,AI,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\mario\br59gvRp.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\br59gvRp.mp4,1.000,1.000,20,20,AI,AI=15;Human=5,2.750,"The level features very minimal design elements. The central trap of a ? Block that is actually a solid block is a classic, simple human-made troll.",1.500,0.922,1.700,0.954,2.500,1.533,1.800,1.288,1.250,0.536,
30,8cgqvaZu,ok,creator_judgment,AI,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\mario\8cgqvaZu.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\8cgqvaZu.mp4,1.000,1.000,20,20,Human,Human=12;AI=8,2.650,"The level lacks a coherent theme, containing isolated enemy clusters and randomly placed platforms. The challenges are not structured in a way that builds upon a central idea or mechanic.",3.350,0.853,2.700,0.900,1.500,0.975,1.500,0.806,2.950,1.117,
