game,map_id,status,true_creator,llm_believed_creator,confidence_level,fun,challenge,frustration,surprise,design,reasoning,error
mario,dwIZVZn4,ok,AI,AI,3,1,1,1,1,1,"The level is extremely short, empty, and lacks any real challenge or coherent structure.",
mario,ueNqeTXa,ok,AI,AI,2,2,3,4,1,2,The level is a simple auto-scroller with randomly placed blocks that don't serve much purpose.,
mario,br59gvRp,ok,AI,Human,3,4,2,1,1,4,"The level uses simple, classic enemy placements and platforming challenges typical of early game design.",
mario,8cgqvaZu,ok,AI,AI,2,3,3,2,1,2,The placement of single blocks and enemies feels random and lacks intentional design flow.,
sokoban,8Ua6YU1D,ok,Human,Human,3,3,2,1,1,3,"The puzzle uses a classic, compact layout typical of human-designed Sokoban puzzles.",
sokoban,t7mUz3Qe,ok,Human,Human,3,3,2,1,1,4,"The level is a standard, recognizable Sokoban puzzle with a clear solution path.",
sokoban,7V2mu5KA,ok,Human,Human,3,3,2,1,1,3,"The puzzle is a very standard, classic Sokoban setup which feels like a tutorial level made by a person.",
sokoban,HjLVlKx4,ok,Human,AI,2,3,2,2,1,3,The puzzle is a very straightforward execution of a Sokoban concept with no extra flair or clever subversions.,
sokoban,5Au4nrI2,ok,Human,Human,3,4,3,1,2,4,"The puzzle requires thinking several moves ahead, which feels like a deliberate challenge set by a human designer.",
sokoban,3xtQxBWH,ok,Human,Human,3,4,4,2,2,4,"The puzzle requires thinking several moves ahead, a classic trait of human-made Sokoban levels.",
sokoban,QUT4qGl2,ok,Human,Human,3,4,3,2,2,4,"The puzzle relies on player foresight, forcing you to plan moves carefully to avoid getting chests stuck.",
sokoban,bhRr4CCv,ok,Human,Human,3,4,3,2,1,4,"The puzzle is a compact, classic Sokoban design with a clear, deliberate solution path.",
sokoban,iJNJxWfZ,ok,Human,AI,2,2,1,1,1,3,"The puzzle feels like a standard, uninspired Sokoban problem without any unique twists or personality.",
sokoban,TIXMBKaj,ok,Human,Human,3,4,3,1,2,4,"The puzzle has a tight, deliberate layout and a single elegant solution path, which feels very human-made.",
sokoban,Z0SxyjXq,ok,Human,Human,3,4,3,2,1,4,"The level has a very deliberate and symmetrical layout, a hallmark of human puzzle design.",
sokoban,ROciIZDL,ok,Human,Human,3,5,3,1,2,4,"The puzzle has a clear, singular solution path that feels deliberately crafted for a satisfying solve.",
sokoban,2v2qgbvC,ok,Human,Human,2,3,1,1,1,2,"It's a classic, straightforward Sokoban puzzle, which feels like a tutorial or early-game level designed by a person.",
sokoban,73sJaNBn,ok,Human,Human,3,4,4,2,2,3,"The puzzle requires careful planning and foresight, which feels like a crafted human challenge.",
sokoban,f8sbFI0a,ok,Human,AI,2,2,1,1,1,2,The puzzle is extremely straightforward and lacks the intentionality or trickiness of human design.,
sokoban,extLxWet,ok,AI,AI,3,2,1,1,1,2,"The puzzle is a perfectly symmetrical, standard Sokoban problem with a very direct solution path.",
sokoban,UTSKBMio,ok,AI,Human,3,3,3,2,1,3,This is a standard Sokoban puzzle; the layout feels intentional and crafted for a specific solution.,
sokoban,LUiVjpMm,ok,AI,AI,1,2,1,1,1,2,"The layout is extremely basic and symmetrical, feeling more like a tutorial than a thoughtfully designed puzzle.",
sokoban,cHhvQJlr,ok,AI,Human,3,3,3,2,1,3,"The puzzle is a straightforward, classic Sokoban design with a clear goal and logical steps.",
sokoban,cTxMstwv,ok,AI,Human,3,4,2,1,1,4,"The puzzle requires forethought and a specific sequence of moves, which feels like a classic, human-made design.",
sokoban,ij6onaGt,ok,AI,Human,3,4,3,2,1,3,"The puzzle's structure feels intentional, guiding the player through a specific sequence of moves.",
sokoban,5iXJGqnK,ok,AI,Human,3,3,4,4,1,3,"The puzzle is a standard, compact Sokoban setup with a clear, logical path that requires foresight.",
sokoban,H77pn4iQ,ok,AI,Human,3,4,4,2,2,4,"The puzzle requires thinking several steps ahead, which feels like a classic, hand-crafted brain teaser.",
sokoban,Iz5BqRyu,ok,AI,AI,2,3,2,1,1,3,"The puzzle has a very rigid, symmetrical layout of boxes and goal tiles, which feels computationally generated.",
sokoban,QV6Qfb7T,ok,AI,Human,3,4,3,1,2,4,"The puzzle has a tight, focused design with a single solution, typical of human-made Sokoban levels.",
sokoban,UeeTjy5b,ok,AI,AI,3,2,1,1,1,2,The puzzle is extremely simple and feels more like a basic functionality test than a thoughtfully designed challenge.,
sokoban,oHSLE5UO,ok,AI,Human,3,3,1,1,1,3,"The level is a basic version of a classic Sokoban puzzle, a famous human-designed game.",
sokoban,79DSy6TF,ok,AI,AI,3,1,1,5,1,1,"The puzzle is unsolvable because the player gets stuck, which feels like an oversight an AI might make.",
sokoban,aE7sjnta,ok,AI,Human,3,3,1,1,1,3,"The puzzle is a basic introduction to Sokoban mechanics, a very common human design pattern.",
sokoban,wSCVt298,ok,AI,Human,3,3,1,1,1,3,"The puzzle is a simple, symmetrical introduction that teaches the core mechanic without any complex tricks.",
