map_index,map_id,status,map_path,video_path,num_runs,num_parsed,creator_belief,creator_belief_votes,confidence_level,reasoning_for_creator_belief,enjoyment,enjoyment_std,difficulty,difficulty_std,frustration,frustration_std,novelty,novelty_std,aesthetics,aesthetics_std,error
11,1AC82kGG,ok,outputs\procedural_mario\1AC82kGG.txt,outputs\procedural_mario\1AC82kGG.mp4,20,20,AI-generated,AI-generated=19;Human-designed=1,2.550,"The level felt more like a random assortment of obstacles rather than a thoughtfully designed, cohesive experience.",2.500,0.500,1.450,0.497,1.000,0.000,1.550,0.669,1.700,0.557,
12,oGL3xUR2,ok,outputs\procedural_mario\oGL3xUR2.txt,outputs\procedural_mario\oGL3xUR2.mp4,20,20,AI-generated,AI-generated=17;Human-designed=3,3.000,"The level is extremely short, lacks enemies, and feels like random, disjointed segments put together without a clear design goal.",1.650,0.572,1.000,0.000,1.000,0.000,1.000,0.000,1.450,0.497,
13,tMYRotFs,ok,outputs\procedural_mario\tMYRotFs.txt,outputs\procedural_mario\tMYRotFs.mp4,20,20,AI-generated,AI-generated=19;Human-designed=1,3.000,The level is a series of disjointed chunks with repetitive enemy placements and no clear flow or theme.,1.350,0.910,1.550,0.669,2.650,1.682,1.250,0.433,1.200,0.872,
14,yAXhWaGh,ok,outputs\procedural_mario\yAXhWaGh.txt,outputs\procedural_mario\yAXhWaGh.mp4,20,20,AI-generated,AI-generated=20,2.950,"The level abruptly ends in an empty, impassable area, which is a common trait in generated levels lacking a clear goal.",1.050,0.218,1.600,0.917,4.650,0.477,1.300,0.458,1.000,0.000,
15,4bMZDbcE,ok,outputs\procedural_mario\4bMZDbcE.txt,outputs\procedural_mario\4bMZDbcE.mp4,20,20,AI-generated,AI-generated=15;Human-designed=5,2.950,"The level consists of near-identical chunks of design repeated with very minor variation, suggesting algorithmic generation.",2.400,1.158,1.200,0.400,1.300,0.900,1.000,0.000,2.100,1.513,
16,lgoBPkQB,ok,outputs\procedural_mario\lgoBPkQB.txt,outputs\procedural_mario\lgoBPkQB.mp4,20,20,Human-designed,Human-designed=16;AI-generated=4,2.850,"The sequence of jumps, pipes, and enemy placements perfectly matches the famous World 1-1.",4.400,0.970,1.100,0.300,1.000,0.000,1.350,1.062,4.300,1.145,
17,xYnV8Xi7,ok,outputs\procedural_mario\xYnV8Xi7.txt,outputs\procedural_mario\xYnV8Xi7.mp4,20,20,AI-generated,AI-generated=19;Human-designed=1,2.900,The level is completely empty and unbeatable; the player is stuck in a loop without any way to progress.,1.100,0.300,2.050,1.564,3.000,1.414,1.500,0.866,1.050,0.218,
18,U3v9pEvF,ok,outputs\procedural_mario\U3v9pEvF.txt,outputs\procedural_mario\U3v9pEvF.mp4,20,20,AI-generated,AI-generated=16;Human-designed=4,2.800,"The level feels like a classic, cohesive stage with a clear difficulty ramp and intentional object placements.",2.450,0.921,2.800,0.600,2.600,1.428,2.150,0.726,1.950,1.117,
19,S7F69Idf,ok,outputs\procedural_mario\S7F69Idf.txt,outputs\procedural_mario\S7F69Idf.mp4,20,20,AI-generated,AI-generated=13;Human-designed=7,2.650,"The level uses basic structures but lacks a clear theme or progression, feeling more like a random assortment of Mario elements.",2.400,0.583,1.100,0.300,1.000,0.000,1.050,0.218,2.150,0.726,
20,mmMjssLU,ok,outputs\procedural_mario\mmMjssLU.txt,outputs\procedural_mario\mmMjssLU.mp4,20,20,Human-designed,Human-designed=10;AI-generated=10,2.750,"The level follows classic design principles, including teaching the player with simple challenges before introducing harder ones.",3.550,1.322,1.650,0.792,1.250,0.887,1.500,1.204,3.450,1.687,
21,Xd8WtCNl,ok,outputs\procedural_mario\Xd8WtCNl.txt,outputs\procedural_mario\Xd8WtCNl.mp4,20,20,AI-generated,AI-generated=18;Human-designed=2,2.700,"The level lacks coherent design, with empty spaces and illogical enemy placements feeling random and procedurally generated.",2.300,0.781,2.150,0.792,1.900,1.136,1.550,0.669,1.550,0.921,
22,9Y6J8Rb8,ok,outputs\procedural_mario\9Y6J8Rb8.txt,outputs\procedural_mario\9Y6J8Rb8.mp4,20,20,AI-generated,AI-generated=19;Human-designed=1,2.900,"The level's auto-scroll combined with randomly placed, disconnected platforms feels chaotic and lacks intentional design flow.",2.000,0.775,2.500,1.025,2.750,1.445,1.300,0.557,1.250,0.536,
23,gngXYJwH,ok,outputs\procedural_mario\gngXYJwH.txt,outputs\procedural_mario\gngXYJwH.mp4,20,20,AI-generated,AI-generated=16;Human-designed=4,2.650,"The level combines familiar elements in a functional but uninspired way, lacking a clear design theme.",2.950,0.669,1.850,0.572,1.150,0.477,1.200,0.400,2.350,1.014,
24,KKZ1dszi,ok,outputs\procedural_mario\KKZ1dszi.txt,outputs\procedural_mario\KKZ1dszi.mp4,20,20,AI-generated,AI-generated=18;Human-designed=2,2.950,Enemy and block placement feels random rather than intentionally designed to create a specific challenge or flow.,2.300,0.954,2.050,0.805,2.150,1.314,1.100,0.300,1.700,1.054,
25,vHybWiYq,ok,outputs\procedural_mario\vHybWiYq.txt,outputs\procedural_mario\vHybWiYq.mp4,20,20,Human-designed,Human-designed=10;AI-generated=10,2.750,"The level design feels classic, with a clear progression and fair enemy/obstacle placement that teaches and tests skills.",3.100,1.179,1.700,0.714,1.300,0.714,1.300,0.557,2.850,1.526,
26,4PFJlLdR,ok,outputs\procedural_mario\4PFJlLdR.txt,outputs\procedural_mario\4PFJlLdR.mp4,20,20,AI-generated,AI-generated=14;Human-designed=6,2.600,The level felt disjointed and lacked a coherent theme or a clear progression that I typically expect from human-designed levels. Some enemy and object placements seemed random rather than intentional.,2.700,0.843,1.750,0.766,1.300,0.781,1.350,0.572,2.250,1.337,
27,dwIZVZn4,ok,outputs\procedural_mario\dwIZVZn4.txt,outputs\procedural_mario\dwIZVZn4.mp4,20,20,Human-designed,Human-designed=11;AI-generated=9,2.450,"The level's design, though minimal, shows a deliberate flow and a clear-cut challenge, which suggests human intent.",2.550,1.023,1.550,0.740,1.350,1.062,1.250,0.433,2.250,1.299,
28,ueNqeTXa,ok,outputs\procedural_mario\ueNqeTXa.txt,outputs\procedural_mario\ueNqeTXa.mp4,20,20,AI-generated,AI-generated=17;Human-designed=3,2.550,"The placement of single blocks, enemies and gaps feels random, not part of a coherent player challenge.",2.300,0.843,2.050,1.071,1.850,1.314,1.350,0.792,1.800,1.030,
29,br59gvRp,ok,outputs\procedural_mario\br59gvRp.txt,outputs\procedural_mario\br59gvRp.mp4,20,20,AI-generated,AI-generated=10;Human-designed=10,2.650,"The level is extremely short, lacks any sort of progression, and simply ends at a dead end.",2.300,0.954,1.400,0.490,1.450,0.865,1.000,0.000,1.800,0.980,
30,8cgqvaZu,ok,outputs\procedural_mario\8cgqvaZu.txt,outputs\procedural_mario\8cgqvaZu.mp4,20,20,AI-generated,AI-generated=15;Human-designed=5,2.850,"The level feels like a collection of random, disconnected platforming ideas rather than a cohesive, flowing experience with a clear theme or progression.",2.400,0.917,2.350,1.062,1.950,1.203,1.350,0.572,1.800,1.077,
