game,map_id,status,true_creator,llm_believed_creator,confidence_level,fun,challenge,frustration,surprise,design,reasoning,error
sokoban,ROciIZDL,ok,Human,Human,2.6,3.4,2.85,1.3,2.1,2.9,"This puzzle requires very specific ordering of moves, especially using previously placed boxes as temporary walls, a common human design trick.",
sokoban,2v2qgbvC,ok,Human,AI,2.55,2.1,1.2,1.0,1.15,2.45,The slightly disorganized and symmetrical yet disconnected layout feels more procedural than intentionally designed.,
sokoban,73sJaNBn,ok,Human,Human,2.85,2.75,1.65,1.3,1.5,2.9,"The puzzle's simple, symmetrical layout and straightforward solution path feel intentional and typical of human design.",
sokoban,f8sbFI0a,ok,Human,Human,2.2,2.75,1.5,1.2,1.2,3.1,"The puzzle has a clear flow and a single, elegant solution path, which feels intentional.",
sokoban,extLxWet,ok,AI,AI,2.85,2.55,1.2,1.0,1.1,2.85,"The puzzle is simple, symmetrical, and lacks any intricate or creative design elements that suggest human touch.",
sokoban,UTSKBMio,ok,AI,AI,2.45,1.9,1.3,1.25,1.15,2.15,"The puzzle has a simple, focused design with a clear intended solution path, which feels intentional and human-crafted.",
sokoban,LUiVjpMm,ok,AI,AI,2.75,1.9,1.8,2.3,1.4,2.1,"The puzzle is unsolvable from the very first intended move, a classic sign of poor design.",
sokoban,cHhvQJlr,ok,AI,Human,2.75,2.8,1.45,1.0,1.2,2.8,"The puzzle is a small, focused test of shuffling boxes, a common human design pattern.",
sokoban,cTxMstwv,ok,AI,AI,2.5,1.9,1.55,1.35,1.3,2.35,The puzzle lacks any meaningful challenge; each box is just pushed directly onto an adjacent goal.,
sokoban,ij6onaGt,ok,AI,Human,2.75,2.7,1.75,1.15,1.25,2.55,The puzzle's layout and straightforward solution path are very typical of early-stage human-designed levels.,
sokoban,5iXJGqnK,ok,AI,Human,2.4,3.35,2.15,1.0,1.5,2.75,"The puzzle is extremely simple, serving as a basic introduction to Sokoban mechanics rather than presenting a unique challenge.",
sokoban,H77pn4iQ,ok,AI,Human,2.65,3.6,2.5,1.2,2.0,3.0,"The puzzle is divided into distinct sections, requiring a logical sequence that feels handcrafted and intentional for the player's experience.",
sokoban,Iz5BqRyu,ok,AI,Human,2.55,3.2,2.05,1.2,1.55,2.75,"The puzzle is trivial, with each box having an independent and obvious path to a goal, which is a common characteristic of simpler AI-generated levels.",
sokoban,QV6Qfb7T,ok,AI,Human,2.6,3.6,2.65,1.25,1.95,3.4,"The puzzle has a straightforward, logical path that feels intentionally crafted for a smooth solving experience.",
sokoban,UeeTjy5b,ok,AI,Human,2.6,1.75,1.0,1.0,1.0,2.55,"The puzzle is symmetrical and very simple, designed to teach the basic push mechanic effectively.",
sokoban,oHSLE5UO,ok,AI,AI,2.8,1.4,1.0,1.2,1.0,1.95,The puzzle's straightforward solution and lack of any complexity suggest it was designed to teach basic mechanics.,
sokoban,79DSy6TF,ok,AI,Human,2.65,2.3,1.05,1.35,1.1,2.95,"The puzzle is a classic, simple Sokoban setup that teaches the basic concept of irreversible moves.",
sokoban,aE7sjnta,ok,AI,AI,2.7,2.05,1.1,1.3,1.05,2.25,"The level is extremely simple and feels like a tutorial, which is a common human design pattern.",
sokoban,wSCVt298,ok,AI,AI,2.5,1.75,1.0,1.05,1.0,2.45,The puzzle's extreme simplicity and straightforward solution path strongly suggest it's designed as a tutorial for new players.,
